Mes_seg,AÃ‘O,MES,TEMP
85,2007,1,14.1089106282379
86,2007,2,13.478455025699
87,2007,3,14.2273767932861
88,2007,4,14.7457474384887
89,2007,5,13.2626311669265
90,2007,6,12.7058477250289
91,2007,7,13.3154679043375
92,2007,8,13.0408932690116
93,2007,9,13.5602560894745
94,2007,10,13.2716265001055
95,2007,11,12.8458937283544
96,2007,12,11.982505222022
97,2008,1,12.163290623079
98,2008,2,11.4250877904112
99,2008,3,13.3901184057484
100,2008,4,13.4185250678513
101,2008,5,13.705745639368
102,2008,6,13.5082891715078
103,2008,7,13.3935397373043
104,2008,8,14.0998852237229
105,2008,9,14.2739458691659
106,2008,10,14.0883314373732
107,2008,11,14.2842560061033
108,2008,12,14.0265882785132
109,2009,1,14.0075102921251
110,2009,2,14.1875754616156
111,2009,3,14.2810224831847
112,2009,4,14.6923296861835
113,2009,5,14.5604405391192
114,2009,6,14.3245484903141
115,2009,7,13.8883804311757
116,2009,8,14.4481384012597
117,2009,9,14.5477724969129
118,2009,10,14.3356700468452
119,2009,11,14.6866741648617
120,2009,12,14.6098398229408
121,2010,1,14.6665129257531
122,2010,2,15.616845992575
123,2010,3,15.5839075294339
124,2010,4,15.0939528265092
125,2010,5,15.1739174056863
126,2010,6,14.5452699213938
127,2010,7,14.0816515870674
128,2010,8,14.0131913506477
129,2010,9,13.967657987391
130,2010,10,14.1521509013553
131,2010,11,13.9259990818064
132,2010,12,13.7231344958543
133,2011,1,13.9697729424078
134,2011,2,14.2373871686177
135,2011,3,14.158388593222
136,2011,4,14.4559650858731
137,2011,5,14.883924536819
138,2011,6,14.7558138535324
139,2011,7,14.0667513082384
140,2011,8,14.3312420193379
141,2011,9,14.0671894716305
142,2011,10,13.8847823459049
143,2011,11,14.0943212976818
144,2011,12,14.4456988033352
145,2012,1,14.4456557373998
146,2012,2,14.172479957274
147,2012,3,14.2696224838048
148,2012,4,14.1010691507223
149,2012,5,14.5609023660195
150,2012,6,14.3396948069113
151,2012,7,13.8125044242808
152,2012,8,13.857610391084
153,2012,9,13.8716256052948
154,2012,10,14.4801759172558
155,2012,11,14.6275716054661
156,2012,12,14.2121557393185
157,2013,1,15.1067622696953
158,2013,2,15.0327066435738
159,2013,3,15.4186683694573
160,2013,4,15.451603013885
161,2013,5,15.2729287860261
162,2013,6,15.2662315342232
163,2013,7,13.7960519210849
164,2013,8,14.4635868226192
165,2013,9,14.7875433479428
166,2013,10,14.5569967363103
167,2013,11,14.5467713857735
168,2013,12,14.6008743887042
169,2014,1,14.5224195043035
170,2014,2,14.7229929323452
171,2014,3,14.8792386576133
172,2014,4,14.9250109523657
173,2014,5,14.9782067508386
174,2014,6,14.4417282451981
175,2014,7,14.241817596578
176,2014,8,13.8706188211565
177,2014,9,14.3259459853909
178,2014,10,14.50826864258
179,2014,11,14.6344912094346
180,2014,12,14.1159206943337
181,2015,1,14.1431252412991
182,2015,2,14.8488559517979
183,2015,3,15.0216979302882
184,2015,4,15.131926274606
185,2015,5,15.1939082839261
186,2015,6,14.3778103952087
187,2015,7,14.6288481212196
188,2015,8,14.8284433799083
189,2015,9,14.7273164540914
190,2015,10,15.0116713946551
191,2015,11,15.1431301793202
192,2015,12,14.6468854283552
193,2016,1,15.8205715455121
194,2016,2,16.2397514511437
195,2016,3,16.486469249272
196,2016,4,15.7102410896016
197,2016,5,15.4573919059279
198,2016,6,14.6716645939167
199,2016,7,14.5762502119918
200,2016,8,14.6147431814052
201,2016,9,14.6718790506524
202,2016,10,15.1411097191343
203,2016,11,14.766165561408
204,2016,12,14.6560390262055
205,2017,1,14.4094696109383
206,2017,2,14.7734086319657
207,2017,3,14.5801644628368
208,2017,4,15.1992521668831
209,2017,5,15.0867579719385
210,2017,6,14.8923902652008
211,2017,7,14.3909086394558
212,2017,8,14.7426743781282
213,2017,9,15.1217803397032
214,2017,10,14.7157610533851
215,2017,11,14.581007616798
216,2017,12,14.7003589452534
217,2018,1,14.2655312007353
218,2018,2,15.0026523841781
219,2018,3,14.9264656161674
220,2018,4,14.2308611509332
221,2018,5,14.6259041249707
222,2018,6,14.3282230706653
223,2018,7,14.3666204654624
224,2018,8,13.9763748389991
225,2018,9,14.6468586947981
226,2018,10,14.98437093516
227,2018,11,15.0725325325852
228,2018,12,14.480163489521
229,2019,1,14.6640283551974
230,2019,2,15.4963648975104
231,2019,3,15.4575185616511
232,2019,4,15.4730891642
233,2019,5,15.1468112730922
234,2019,6,14.719791684252
235,2019,7,14.5623411534702
236,2019,8,14.3946543327402
237,2019,9,15.0322633837536
238,2019,10,14.6301602774158
239,2019,11,15.2393165603968
